                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.3295,                0.99027,                 1.2858,                 0.6638,                0.68244,                0.70423,                0.41317,                 1.5118,                 1.2277,                 1.4073,             0.00081541,             0.00081541,             0.00081541
                    106,                 1.3126,                0.99654,                 1.2787,                0.75133,                0.69416,                0.72608,                0.43985,                 1.4939,                   1.15,                 1.3954,             0.00081451,             0.00081451,             0.00081451
                    107,                 1.3233,                0.98873,                 1.2643,                0.70537,                0.68639,                0.73768,                0.44856,                 1.4635,                 1.0949,                 1.3917,             0.00081361,             0.00081361,             0.00081361
                    108,                 1.3063,                0.98623,                 1.2852,                0.76202,                0.71959,                0.73243,                0.43556,                  1.477,                 1.0987,                 1.3961,             0.00081271,             0.00081271,             0.00081271
                    109,                 1.3173,                0.97878,                 1.2935,                0.65674,                0.70788,                0.72984,                0.44518,                 1.4748,                 1.0771,                  1.392,             0.00081181,             0.00081181,             0.00081181
                    110,                 1.3257,                0.98119,                 1.2856,                0.74094,                0.62359,                0.71575,                0.43916,                 1.4691,                 1.1038,                  1.375,             0.00081091,             0.00081091,             0.00081091
                    111,                 1.2898,                0.96642,                 1.2711,                0.70913,                0.68022,                0.73493,                0.44782,                 1.4809,                 1.1378,                 1.3824,             0.00081001,             0.00081001,             0.00081001
                    112,                 1.3036,                0.97374,                 1.2512,                0.80084,                0.68282,                0.76015,                0.45026,                 1.4511,                 1.0649,                 1.3653,             0.00080911,             0.00080911,             0.00080911
                    113,                 1.2985,                0.95913,                  1.261,                0.74809,                0.69397,                0.75305,                0.43701,                 1.4813,                 1.0847,                   1.39,             0.00080821,             0.00080821,             0.00080821
                    114,                 1.3031,                0.97025,                 1.2819,                 0.7446,                0.64539,                0.71503,                0.42668,                 1.5242,                 1.1767,                 1.4041,             0.00080731,             0.00080731,             0.00080731
                    115,                 1.3139,                0.98947,                 1.2663,                0.71181,                0.58709,                0.64769,                0.38703,                 1.5791,                 1.3679,                  1.468,             0.00080641,             0.00080641,             0.00080641
                    116,                 1.2811,                0.95353,                  1.265,                0.70227,                 0.6488,                0.71488,                0.43227,                 1.4592,                 1.0741,                  1.389,             0.00080551,             0.00080551,             0.00080551
                    117,                  1.268,                0.93275,                 1.2585,                0.76132,                0.66864,                0.72572,                0.44645,                 1.4398,                 1.0521,                 1.3607,             0.00080461,             0.00080461,             0.00080461
                    118,                 1.3146,                0.97322,                 1.2794,                0.69353,                0.69642,                0.73368,                0.44472,                 1.4471,                 1.0766,                 1.3631,             0.00080371,             0.00080371,             0.00080371
                    119,                 1.2733,                0.96468,                 1.2655,                0.66991,                0.71087,                0.72523,                  0.438,                 1.4392,                  1.086,                 1.3732,             0.00080281,             0.00080281,             0.00080281
                    120,                 1.2811,                0.95541,                 1.2728,                0.72773,                0.64482,                0.71196,                0.43184,                 1.4364,                  1.218,                 1.3553,             0.00080191,             0.00080191,             0.00080191
                    121,                 1.2599,                0.92829,                 1.2393,                0.78203,                0.65442,                 0.7153,                 0.4439,                 1.4458,                 1.1261,                 1.3641,             0.00080101,             0.00080101,             0.00080101
                    122,                 1.2778,                0.94826,                 1.2693,                0.78611,                0.64484,                0.74237,                0.45002,                 1.4476,                 1.0803,                 1.3531,             0.00080011,             0.00080011,             0.00080011
                    123,                  1.257,                0.92507,                 1.2443,                0.76802,                0.67165,                0.72621,                0.44703,                  1.441,                 1.0613,                 1.3582,             0.00079921,             0.00079921,             0.00079921
                    124,                 1.2368,                0.90859,                 1.2495,                0.72772,                 0.6937,                0.73261,                0.45378,                 1.4176,                 1.0793,                 1.3495,             0.00079831,             0.00079831,             0.00079831
                    125,                 1.2521,                0.91153,                 1.2425,                0.71196,                0.66121,                0.72206,                0.42733,                 1.4373,                 1.1019,                 1.3771,             0.00079741,             0.00079741,             0.00079741
                    126,                 1.2649,                0.94019,                 1.2627,                0.75707,                 0.6975,                0.74276,                0.44767,                 1.4439,                 1.0494,                 1.3705,             0.00079651,             0.00079651,             0.00079651
                    127,                 1.2302,                0.89402,                 1.2302,                0.75347,                0.72313,                0.75418,                0.45866,                 1.4256,                 1.1028,                 1.3517,             0.00079561,             0.00079561,             0.00079561
                    128,                 1.2385,                 0.9107,                 1.2298,                0.73361,                0.65056,                0.70039,                0.43669,                 1.4543,                 1.1445,                 1.3874,             0.00079471,             0.00079471,             0.00079471
                    129,                 1.2716,                0.92633,                 1.2593,                0.68118,                0.69476,                0.72105,                0.43258,                 1.4554,                 1.0929,                 1.3631,             0.00079381,             0.00079381,             0.00079381
                    130,                 1.2757,                0.91265,                 1.2438,                0.72391,                0.65476,                0.70289,                0.44169,                 1.4838,                 1.1021,                  1.372,             0.00079291,             0.00079291,             0.00079291
                    131,                 1.2225,                0.89336,                 1.2377,                0.80355,                0.64455,                0.71657,                0.44011,                  1.465,                 1.1193,                 1.3832,             0.00079201,             0.00079201,             0.00079201
                    132,                  1.213,                0.90229,                 1.2276,                0.76733,                  0.663,                0.72021,                0.43868,                 1.4661,                 1.1336,                 1.3822,             0.00079111,             0.00079111,             0.00079111
                    133,                 1.2307,                0.87179,                 1.2213,                0.80357,                0.65046,                0.73439,                0.45377,                 1.4595,                 1.0988,                 1.3848,             0.00079021,             0.00079021,             0.00079021
                    134,                 1.2159,                0.87451,                 1.2259,                0.81227,                0.64938,                0.74043,                0.44372,                 1.4744,                 1.0927,                 1.3857,             0.00078931,             0.00078931,             0.00078931
                    135,                 1.2098,                0.87525,                 1.2193,                0.78238,                0.68464,                  0.736,                0.44524,                 1.4424,                 1.0356,                 1.3635,             0.00078841,             0.00078841,             0.00078841
                    136,                 1.2096,                0.86945,                 1.2014,                0.77519,                 0.6552,                0.72868,                0.45856,                 1.4251,                 1.0533,                 1.3447,             0.00078751,             0.00078751,             0.00078751
                    137,                 1.2098,                0.86803,                 1.2114,                 0.8089,                0.67753,                0.75089,                0.45543,                 1.4632,                 1.0556,                 1.3765,             0.00078661,             0.00078661,             0.00078661
                    138,                 1.1932,                0.86674,                 1.2051,                0.78085,                0.70672,                0.76686,                0.47241,                 1.4405,                 1.0414,                 1.3623,             0.00078571,             0.00078571,             0.00078571
                    139,                 1.2216,                 0.8895,                 1.2215,                0.75008,                0.70018,                0.75149,                0.47305,                 1.4164,                  1.073,                 1.3477,             0.00078481,             0.00078481,             0.00078481
                    140,                 1.2025,                0.86357,                 1.2078,                0.75798,                0.70303,                0.74527,                0.46081,                 1.4269,                 1.0617,                 1.3538,             0.00078391,             0.00078391,             0.00078391
                    141,                  1.185,                0.85072,                 1.1855,                 0.7684,                0.71867,                0.76415,                0.46468,                 1.4114,                   1.06,                 1.3485,             0.00078301,             0.00078301,             0.00078301
                    142,                 1.1948,                0.85953,                 1.2203,                0.72789,                0.64834,                 0.7266,                0.42975,                 1.4631,                 1.1279,                 1.3862,             0.00078211,             0.00078211,             0.00078211
                    143,                 1.2079,                0.88567,                 1.2328,                0.73587,                0.66739,                0.73863,                0.43982,                 1.4077,                 1.0623,                 1.3581,             0.00078121,             0.00078121,             0.00078121
                    144,                 1.1946,                0.85583,                 1.2116,                0.85503,                0.66827,                0.76576,                0.46944,                 1.4181,                 1.0596,                 1.3664,             0.00078031,             0.00078031,             0.00078031
                    145,                 1.2222,                0.89725,                 1.2347,                0.72414,                0.72626,                 0.7557,                0.46749,                 1.4048,                 1.0953,                 1.3538,             0.00077941,             0.00077941,             0.00077941
                    146,                 1.2075,                0.87124,                 1.1971,                0.77563,                0.69051,                0.74224,                0.45702,                 1.4474,                 1.0812,                  1.368,             0.00077851,             0.00077851,             0.00077851
                    147,                 1.1705,                0.83852,                 1.2058,                0.83254,                0.64247,                0.74511,                0.46006,                 1.3928,                 1.0544,                 1.3425,             0.00077761,             0.00077761,             0.00077761
                    148,                  1.178,                0.84497,                 1.2054,                0.72098,                0.71026,                0.75763,                0.47036,                 1.4027,                 1.0387,                 1.3462,             0.00077671,             0.00077671,             0.00077671
                    149,                 1.1574,                0.83463,                 1.1789,                0.82114,                 0.6416,                0.75957,                0.47154,                 1.3831,                 1.0433,                 1.3279,             0.00077581,             0.00077581,             0.00077581
